registry_name,source_field
forestry:bee_house,BASE
forestry:apiary,BASE
forestry:beehive_forest,BEEHIVE
forestry:beehive_meadows,BEEHIVE
forestry:beehive_desert,BEEHIVE
forestry:beehive_jungle,BEEHIVE
forestry:beehive_end,BEEHIVE
forestry:beehive_snow,BEEHIVE
forestry:beehive_swamp,BEEHIVE
forestry:beehive_savanna,BEEHIVE
forestry:beehive_lush,BEEHIVE
forestry:beehive_aquatic,BEEHIVE
forestry:beehive_nether,BEEHIVE
forestry:beehive_swarm,BEEHIVE
forestry:block_bee_comb_honey,BEE_COMB
forestry:block_bee_comb_cocoa,BEE_COMB
forestry:block_bee_comb_simmering,BEE_COMB
forestry:block_bee_comb_stringy,BEE_COMB
forestry:block_bee_comb_frozen,BEE_COMB
forestry:block_bee_comb_dripping,BEE_COMB
forestry:block_bee_comb_silky,BEE_COMB
forestry:block_bee_comb_parched,BEE_COMB
forestry:block_bee_comb_mysterious,BEE_COMB
forestry:block_bee_comb_powdery,BEE_COMB
forestry:block_bee_comb_wheaten,BEE_COMB
forestry:block_bee_comb_mossy,BEE_COMB
forestry:block_bee_comb_mellow,BEE_COMB
forestry:block_bee_comb_kaolin,BEE_COMB
forestry:block_bee_comb_vintage,BEE_COMB
forestry:block_bee_comb_sponge,BEE_COMB
forestry:block_bee_comb_sculken,BEE_COMB
forestry:alveary_plain,ALVEARY
forestry:alveary_swarmer,ALVEARY
forestry:alveary_fan,ALVEARY
forestry:alveary_heater,ALVEARY
forestry:alveary_hygro,ALVEARY
forestry:alveary_stabiliser,ALVEARY
forestry:alveary_sieve,ALVEARY
