registry_name,source_field
forestry:bee_queen_ge,individual
forestry:bee_drone_ge,individual
forestry:bee_princess_ge,individual
forestry:bee_larvae_ge,individual
forestry:frame_untreated,individual
forestry:frame_impregnated,individual
forestry:frame_proven,individual
forestry:frame_creative,individual
forestry:honey_drop,individual
forestry:honeydew,individual
forestry:experience_drop,individual
forestry:royal_jelly,individual
forestry:honeyed_slice,individual
forestry:ambrosia,individual
forestry:honey_pot,individual
forestry:apiarist_helmet,individual
forestry:apiarist_chest,individual
forestry:apiarist_legs,individual
forestry:apiarist_boots,individual
forestry:scoop,individual
forestry:smoker,individual
forestry:amber_drone,individual
forestry:propolis_normal,PROPOLIS
forestry:propolis_pulsating,PROPOLIS
forestry:propolis_silky,PROPOLIS
forestry:propolis_volcanic,PROPOLIS
forestry:pollen_cluster_normal,POLLEN_CLUSTER
forestry:pollen_cluster_crystalline,POLLEN_CLUSTER
forestry:bee_comb_honey,BEE_COMBS
forestry:bee_comb_cocoa,BEE_COMBS
forestry:bee_comb_simmering,BEE_COMBS
forestry:bee_comb_stringy,BEE_COMBS
forestry:bee_comb_frozen,BEE_COMBS
forestry:bee_comb_dripping,BEE_COMBS
forestry:bee_comb_silky,BEE_COMBS
forestry:bee_comb_parched,BEE_COMBS
forestry:bee_comb_mysterious,BEE_COMBS
forestry:bee_comb_powdery,BEE_COMBS
forestry:bee_comb_wheaten,BEE_COMBS
forestry:bee_comb_mossy,BEE_COMBS
forestry:bee_comb_mellow,BEE_COMBS
forestry:bee_comb_kaolin,BEE_COMBS
forestry:bee_comb_vintage,BEE_COMBS
forestry:bee_comb_sponge,BEE_COMBS
forestry:bee_comb_sculken,BEE_COMBS
