registry_name,source_field
forestry:oak_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:spruce_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:birch_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:jungle_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:acacia_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:dark_oak_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:cherry_fireproof_log,LOGS_VANILLA_FIREPROOF
forestry:oak_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:spruce_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:birch_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:jungle_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:acacia_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:dark_oak_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:cherry_fireproof_wood,WOOD_VANILLA_FIREPROOF
forestry:oak_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:spruce_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:birch_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:jungle_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:acacia_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:dark_oak_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:cherry_fireproof_stripped_log,STRIPPED_LOGS_VANILLA_FIREPROOF
forestry:oak_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:spruce_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:birch_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:jungle_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:acacia_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:dark_oak_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:cherry_fireproof_stripped_wood,STRIPPED_WOOD_VANILLA_FIREPROOF
forestry:larch_log,LOGS
forestry:teak_log,LOGS
forestry:acacia_desert_log,LOGS
forestry:lime_log,LOGS
forestry:chestnut_log,LOGS
forestry:wenge_log,LOGS
forestry:baobab_log,LOGS
forestry:sequoia_log,LOGS
forestry:kapok_log,LOGS
forestry:ebony_log,LOGS
forestry:elm_log,LOGS
forestry:mahogany_log,LOGS
forestry:balsa_log,LOGS
forestry:willow_log,LOGS
forestry:walnut_log,LOGS
forestry:greenheart_log,LOGS
forestry:hill_cherry_log,LOGS
forestry:mahoe_log,LOGS
forestry:poplar_log,LOGS
forestry:palm_log,LOGS
forestry:papaya_log,LOGS
forestry:pine_log,LOGS
forestry:plum_log,LOGS
forestry:maple_log,LOGS
forestry:citrus_log,LOGS
forestry:giganteum_log,LOGS
forestry:ipe_log,LOGS
forestry:padauk_log,LOGS
forestry:cocobolo_log,LOGS
forestry:fir_log,LOGS
forestry:coconut_log,LOGS
forestry:beech_log,LOGS
forestry:feijoa_log,LOGS
forestry:dogwood_log,LOGS
forestry:ginkgo_log,LOGS
forestry:jacaranda_log,LOGS
forestry:pewen_log,LOGS
forestry:macrocarpa_log,LOGS
forestry:olive_log,LOGS
forestry:orange_log,LOGS
forestry:pear_log,LOGS
forestry:kauri_log,LOGS
forestry:zebrawood_log,LOGS
forestry:larch_fireproof_log,LOGS_FIREPROOF
forestry:teak_fireproof_log,LOGS_FIREPROOF
forestry:acacia_desert_fireproof_log,LOGS_FIREPROOF
forestry:lime_fireproof_log,LOGS_FIREPROOF
forestry:chestnut_fireproof_log,LOGS_FIREPROOF
forestry:wenge_fireproof_log,LOGS_FIREPROOF
forestry:baobab_fireproof_log,LOGS_FIREPROOF
forestry:sequoia_fireproof_log,LOGS_FIREPROOF
forestry:kapok_fireproof_log,LOGS_FIREPROOF
forestry:ebony_fireproof_log,LOGS_FIREPROOF
forestry:elm_fireproof_log,LOGS_FIREPROOF
forestry:mahogany_fireproof_log,LOGS_FIREPROOF
forestry:balsa_fireproof_log,LOGS_FIREPROOF
forestry:willow_fireproof_log,LOGS_FIREPROOF
forestry:walnut_fireproof_log,LOGS_FIREPROOF
forestry:greenheart_fireproof_log,LOGS_FIREPROOF
forestry:hill_cherry_fireproof_log,LOGS_FIREPROOF
forestry:mahoe_fireproof_log,LOGS_FIREPROOF
forestry:poplar_fireproof_log,LOGS_FIREPROOF
forestry:palm_fireproof_log,LOGS_FIREPROOF
forestry:papaya_fireproof_log,LOGS_FIREPROOF
forestry:pine_fireproof_log,LOGS_FIREPROOF
forestry:plum_fireproof_log,LOGS_FIREPROOF
forestry:maple_fireproof_log,LOGS_FIREPROOF
forestry:citrus_fireproof_log,LOGS_FIREPROOF
forestry:giganteum_fireproof_log,LOGS_FIREPROOF
forestry:ipe_fireproof_log,LOGS_FIREPROOF
forestry:padauk_fireproof_log,LOGS_FIREPROOF
forestry:cocobolo_fireproof_log,LOGS_FIREPROOF
forestry:fir_fireproof_log,LOGS_FIREPROOF
forestry:coconut_fireproof_log,LOGS_FIREPROOF
forestry:beech_fireproof_log,LOGS_FIREPROOF
forestry:feijoa_fireproof_log,LOGS_FIREPROOF
forestry:dogwood_fireproof_log,LOGS_FIREPROOF
forestry:ginkgo_fireproof_log,LOGS_FIREPROOF
forestry:jacaranda_fireproof_log,LOGS_FIREPROOF
forestry:pewen_fireproof_log,LOGS_FIREPROOF
forestry:macrocarpa_fireproof_log,LOGS_FIREPROOF
forestry:olive_fireproof_log,LOGS_FIREPROOF
forestry:orange_fireproof_log,LOGS_FIREPROOF
forestry:pear_fireproof_log,LOGS_FIREPROOF
forestry:kauri_fireproof_log,LOGS_FIREPROOF
forestry:zebrawood_fireproof_log,LOGS_FIREPROOF
forestry:larch_stripped_log,STRIPPED_LOGS
forestry:teak_stripped_log,STRIPPED_LOGS
forestry:acacia_desert_stripped_log,STRIPPED_LOGS
forestry:lime_stripped_log,STRIPPED_LOGS
forestry:chestnut_stripped_log,STRIPPED_LOGS
forestry:wenge_stripped_log,STRIPPED_LOGS
forestry:baobab_stripped_log,STRIPPED_LOGS
forestry:sequoia_stripped_log,STRIPPED_LOGS
forestry:kapok_stripped_log,STRIPPED_LOGS
forestry:ebony_stripped_log,STRIPPED_LOGS
forestry:elm_stripped_log,STRIPPED_LOGS
forestry:mahogany_stripped_log,STRIPPED_LOGS
forestry:balsa_stripped_log,STRIPPED_LOGS
forestry:willow_stripped_log,STRIPPED_LOGS
forestry:walnut_stripped_log,STRIPPED_LOGS
forestry:greenheart_stripped_log,STRIPPED_LOGS
forestry:hill_cherry_stripped_log,STRIPPED_LOGS
forestry:mahoe_stripped_log,STRIPPED_LOGS
forestry:poplar_stripped_log,STRIPPED_LOGS
forestry:palm_stripped_log,STRIPPED_LOGS
forestry:papaya_stripped_log,STRIPPED_LOGS
forestry:pine_stripped_log,STRIPPED_LOGS
forestry:plum_stripped_log,STRIPPED_LOGS
forestry:maple_stripped_log,STRIPPED_LOGS
forestry:citrus_stripped_log,STRIPPED_LOGS
forestry:giganteum_stripped_log,STRIPPED_LOGS
forestry:ipe_stripped_log,STRIPPED_LOGS
forestry:padauk_stripped_log,STRIPPED_LOGS
forestry:cocobolo_stripped_log,STRIPPED_LOGS
forestry:fir_stripped_log,STRIPPED_LOGS
forestry:coconut_stripped_log,STRIPPED_LOGS
forestry:beech_stripped_log,STRIPPED_LOGS
forestry:feijoa_stripped_log,STRIPPED_LOGS
forestry:dogwood_stripped_log,STRIPPED_LOGS
forestry:ginkgo_stripped_log,STRIPPED_LOGS
forestry:jacaranda_stripped_log,STRIPPED_LOGS
forestry:pewen_stripped_log,STRIPPED_LOGS
forestry:macrocarpa_stripped_log,STRIPPED_LOGS
forestry:olive_stripped_log,STRIPPED_LOGS
forestry:orange_stripped_log,STRIPPED_LOGS
forestry:pear_stripped_log,STRIPPED_LOGS
forestry:kauri_stripped_log,STRIPPED_LOGS
forestry:zebrawood_stripped_log,STRIPPED_LOGS
forestry:larch_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:teak_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:acacia_desert_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:lime_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:chestnut_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:wenge_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:baobab_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:sequoia_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:kapok_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:ebony_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:elm_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:mahogany_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:balsa_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:willow_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:walnut_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:greenheart_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:hill_cherry_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:mahoe_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:poplar_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:palm_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:papaya_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:pine_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:plum_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:maple_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:citrus_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:giganteum_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:ipe_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:padauk_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:cocobolo_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:fir_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:coconut_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:beech_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:feijoa_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:dogwood_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:ginkgo_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:jacaranda_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:pewen_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:macrocarpa_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:olive_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:orange_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:pear_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:kauri_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:zebrawood_fireproof_stripped_log,STRIPPED_LOGS_FIREPROOF
forestry:larch_wood,WOOD
forestry:teak_wood,WOOD
forestry:acacia_desert_wood,WOOD
forestry:lime_wood,WOOD
forestry:chestnut_wood,WOOD
forestry:wenge_wood,WOOD
forestry:baobab_wood,WOOD
forestry:sequoia_wood,WOOD
forestry:kapok_wood,WOOD
forestry:ebony_wood,WOOD
forestry:elm_wood,WOOD
forestry:mahogany_wood,WOOD
forestry:balsa_wood,WOOD
forestry:willow_wood,WOOD
forestry:walnut_wood,WOOD
forestry:greenheart_wood,WOOD
forestry:hill_cherry_wood,WOOD
forestry:mahoe_wood,WOOD
forestry:poplar_wood,WOOD
forestry:palm_wood,WOOD
forestry:papaya_wood,WOOD
forestry:pine_wood,WOOD
forestry:plum_wood,WOOD
forestry:maple_wood,WOOD
forestry:citrus_wood,WOOD
forestry:giganteum_wood,WOOD
forestry:ipe_wood,WOOD
forestry:padauk_wood,WOOD
forestry:cocobolo_wood,WOOD
forestry:fir_wood,WOOD
forestry:coconut_wood,WOOD
forestry:beech_wood,WOOD
forestry:feijoa_wood,WOOD
forestry:dogwood_wood,WOOD
forestry:ginkgo_wood,WOOD
forestry:jacaranda_wood,WOOD
forestry:pewen_wood,WOOD
forestry:macrocarpa_wood,WOOD
forestry:olive_wood,WOOD
forestry:orange_wood,WOOD
forestry:pear_wood,WOOD
forestry:kauri_wood,WOOD
forestry:zebrawood_wood,WOOD
forestry:larch_fireproof_wood,WOOD_FIREPROOF
forestry:teak_fireproof_wood,WOOD_FIREPROOF
forestry:acacia_desert_fireproof_wood,WOOD_FIREPROOF
forestry:lime_fireproof_wood,WOOD_FIREPROOF
forestry:chestnut_fireproof_wood,WOOD_FIREPROOF
forestry:wenge_fireproof_wood,WOOD_FIREPROOF
forestry:baobab_fireproof_wood,WOOD_FIREPROOF
forestry:sequoia_fireproof_wood,WOOD_FIREPROOF
forestry:kapok_fireproof_wood,WOOD_FIREPROOF
forestry:ebony_fireproof_wood,WOOD_FIREPROOF
forestry:elm_fireproof_wood,WOOD_FIREPROOF
forestry:mahogany_fireproof_wood,WOOD_FIREPROOF
forestry:balsa_fireproof_wood,WOOD_FIREPROOF
forestry:willow_fireproof_wood,WOOD_FIREPROOF
forestry:walnut_fireproof_wood,WOOD_FIREPROOF
forestry:greenheart_fireproof_wood,WOOD_FIREPROOF
forestry:hill_cherry_fireproof_wood,WOOD_FIREPROOF
forestry:mahoe_fireproof_wood,WOOD_FIREPROOF
forestry:poplar_fireproof_wood,WOOD_FIREPROOF
forestry:palm_fireproof_wood,WOOD_FIREPROOF
forestry:papaya_fireproof_wood,WOOD_FIREPROOF
forestry:pine_fireproof_wood,WOOD_FIREPROOF
forestry:plum_fireproof_wood,WOOD_FIREPROOF
forestry:maple_fireproof_wood,WOOD_FIREPROOF
forestry:citrus_fireproof_wood,WOOD_FIREPROOF
forestry:giganteum_fireproof_wood,WOOD_FIREPROOF
