registry_name,source_field
forestry:sapling,individual
forestry:pollen_fertile,individual
forestry:grafter,individual
forestry:grafter_proven,individual
forestry:amber_sapling,individual
forestry:larch_boat,BOAT
forestry:teak_boat,BOAT
forestry:acacia_desert_boat,BOAT
forestry:lime_boat,BOAT
forestry:chestnut_boat,BOAT
forestry:wenge_boat,BOAT
forestry:baobab_boat,BOAT
forestry:sequoia_boat,BOAT
forestry:kapok_boat,BOAT
forestry:ebony_boat,BOAT
forestry:elm_boat,BOAT
forestry:mahogany_boat,BOAT
forestry:balsa_boat,BOAT
forestry:willow_boat,BOAT
forestry:walnut_boat,BOAT
forestry:greenheart_boat,BOAT
forestry:hill_cherry_boat,BOAT
forestry:mahoe_boat,BOAT
forestry:poplar_boat,BOAT
forestry:palm_boat,BOAT
forestry:papaya_boat,BOAT
forestry:pine_boat,BOAT
forestry:plum_boat,BOAT
forestry:maple_boat,BOAT
forestry:citrus_boat,BOAT
forestry:giganteum_boat,BOAT
forestry:ipe_boat,BOAT
forestry:padauk_boat,BOAT
forestry:cocobolo_boat,BOAT
forestry:fir_boat,BOAT
forestry:coconut_boat,BOAT
forestry:beech_boat,BOAT
forestry:feijoa_boat,BOAT
forestry:dogwood_boat,BOAT
forestry:ginkgo_boat,BOAT
forestry:jacaranda_boat,BOAT
forestry:pewen_boat,BOAT
forestry:macrocarpa_boat,BOAT
forestry:olive_boat,BOAT
forestry:orange_boat,BOAT
forestry:pear_boat,BOAT
forestry:kauri_boat,BOAT
forestry:zebrawood_boat,BOAT
forestry:larch_chest_boat,CHEST_BOAT
forestry:teak_chest_boat,CHEST_BOAT
forestry:acacia_desert_chest_boat,CHEST_BOAT
forestry:lime_chest_boat,CHEST_BOAT
forestry:chestnut_chest_boat,CHEST_BOAT
forestry:wenge_chest_boat,CHEST_BOAT
forestry:baobab_chest_boat,CHEST_BOAT
forestry:sequoia_chest_boat,CHEST_BOAT
forestry:kapok_chest_boat,CHEST_BOAT
forestry:ebony_chest_boat,CHEST_BOAT
forestry:elm_chest_boat,CHEST_BOAT
forestry:mahogany_chest_boat,CHEST_BOAT
forestry:balsa_chest_boat,CHEST_BOAT
forestry:willow_chest_boat,CHEST_BOAT
forestry:walnut_chest_boat,CHEST_BOAT
forestry:greenheart_chest_boat,CHEST_BOAT
forestry:hill_cherry_chest_boat,CHEST_BOAT
forestry:mahoe_chest_boat,CHEST_BOAT
forestry:poplar_chest_boat,CHEST_BOAT
forestry:palm_chest_boat,CHEST_BOAT
forestry:papaya_chest_boat,CHEST_BOAT
forestry:pine_chest_boat,CHEST_BOAT
forestry:plum_chest_boat,CHEST_BOAT
forestry:maple_chest_boat,CHEST_BOAT
forestry:citrus_chest_boat,CHEST_BOAT
forestry:giganteum_chest_boat,CHEST_BOAT
forestry:ipe_chest_boat,CHEST_BOAT
forestry:padauk_chest_boat,CHEST_BOAT
forestry:cocobolo_chest_boat,CHEST_BOAT
forestry:fir_chest_boat,CHEST_BOAT
forestry:coconut_chest_boat,CHEST_BOAT
forestry:beech_chest_boat,CHEST_BOAT
forestry:feijoa_chest_boat,CHEST_BOAT
forestry:dogwood_chest_boat,CHEST_BOAT
forestry:ginkgo_chest_boat,CHEST_BOAT
forestry:jacaranda_chest_boat,CHEST_BOAT
forestry:pewen_chest_boat,CHEST_BOAT
forestry:macrocarpa_chest_boat,CHEST_BOAT
forestry:olive_chest_boat,CHEST_BOAT
forestry:orange_chest_boat,CHEST_BOAT
forestry:pear_chest_boat,CHEST_BOAT
forestry:kauri_chest_boat,CHEST_BOAT
forestry:zebrawood_chest_boat,CHEST_BOAT
